"arg","col1","callee","col3","col4","col5","col6","col7"
"StringLiteral","sink_candidate","get","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",10
"path","sink_candidate","open","flow_kind=argument","receiver=open","module=app/main.py","arg_index=0",12
"StringLiteral","sink_candidate","get","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",15
"List","sink_candidate","run","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",17
"StringLiteral","sink_candidate","get","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",19
"url","sink_candidate","get","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",21
"StringLiteral","sink_candidate","get","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",23
"expr","sink_candidate","eval","flow_kind=argument","receiver=eval","module=app/main.py","arg_index=0",25
"StringLiteral","sink_candidate","get","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",27
"StringLiteral","sink_candidate","execute","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",31
"BinaryExpr","sink_candidate","execute","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",32
"StringLiteral","sink_candidate","get","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",35
"Attribute()","sink_candidate","loads","flow_kind=argument","receiver=Attribute","module=app/main.py","arg_index=0",37
